week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-06-01,100.0,104.07083086785802,4.070830867858022,50,50,-2.135703531418376,False,False
2026-06-08,104.07083086785802,108.40296343750018,4.1626770282470416,93,93,-2.201364831718422,False,False
2026-06-15,108.40296343750018,122.16739760625018,12.697470375600851,110,106,-1.0388763641824617,True,True
2026-06-22,122.16739760625018,137.90973686875103,12.885875913669675,107,107,-1.5375288067830728,True,True
2026-06-29,137.90973686875103,143.6416734830367,4.156295809440036,34,34,-1.4587242582586923,False,False
2026-07-06,143.6416734830367,151.66790334017867,5.587674984926871,34,32,-1.073818474670729,True,False
2026-07-13,151.66790334017867,168.93478186078545,11.38466223923369,97,97,-1.745679628574559,True,True
2026-07-20,168.93478186078545,196.55378441164592,16.348914206205656,147,145,-1.027360698226376,True,True
2026-07-27,196.55378441164592,217.41225738114667,10.612094308912678,98,98,-1.0920939168497679,True,True
2026-08-03,217.41225738114667,252.1012942222191,15.95541910052425,74,74,-0.9868729563223932,True,True
2026-08-10,252.1012942222191,289.83106552472066,14.966115671442747,127,127,-0.7005211941218725,True,True
