asset,strategy_family,applicable,state,reason,required_evidence
BTCUSD,INTERMARKET,True,EXECUTED_NO_TRIGGER,,SYNCHRONIZED_CROSS_ASSET+FACTOR_FEEDS
BTCUSD,CARRY_VALUE,True,DATA_GATED,SPOT_FUTURES_BASIS+YIELD,SPOT_FUTURES_BASIS+YIELD
BTCUSD,CRYPTO_FUNDING_BASIS,True,DATA_GATED,PERP_FUNDING+BASIS+OI+LIQUIDATIONS,PERP_FUNDING+BASIS+OI+LIQUIDATIONS
BTCUSD,EVENT_RESPONSE,True,DATA_GATED,CRYPTO+MACRO+LIQUIDATION_EVENT_FEED,CRYPTO+MACRO+LIQUIDATION_EVENT_FEED
BTCUSD,ENSEMBLE_REGIME,True,EXECUTED_TRIGGERED,,SURVIVING_FAMILY_SCORES+REGIME_STATE
ETHUSD,SUPPLY_DEMAND,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
ETHUSD,LIQUIDITY_STRUCTURE,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
ETHUSD,TREND_FOLLOWING,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
ETHUSD,MOMENTUM_PULLBACK,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
ETHUSD,BREAKOUT_RETEST,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
ETHUSD,MEAN_REVERSION,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
ETHUSD,VOLATILITY_REGIME,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
ETHUSD,SESSION_TIME,True,EXECUTED_TRIGGERED,,M1+ASSET_MARKET_CALENDAR+DST
ETHUSD,ORDER_FLOW_MICROSTRUCTURE,True,DATA_GATED,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH
ETHUSD,RELATIVE_VALUE_PAIRS,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_PEER_PATHS
ETHUSD,INTERMARKET,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_CROSS_ASSET+FACTOR_FEEDS
ETHUSD,CARRY_VALUE,True,DATA_GATED,SPOT_FUTURES_BASIS+YIELD,SPOT_FUTURES_BASIS+YIELD
ETHUSD,CRYPTO_FUNDING_BASIS,True,DATA_GATED,PERP_FUNDING+BASIS+OI+LIQUIDATIONS,PERP_FUNDING+BASIS+OI+LIQUIDATIONS
ETHUSD,EVENT_RESPONSE,True,DATA_GATED,CRYPTO+MACRO+LIQUIDATION_EVENT_FEED,CRYPTO+MACRO+LIQUIDATION_EVENT_FEED
ETHUSD,ENSEMBLE_REGIME,True,EXECUTED_TRIGGERED,,SURVIVING_FAMILY_SCORES+REGIME_STATE
SOLUSD,SUPPLY_DEMAND,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
SOLUSD,LIQUIDITY_STRUCTURE,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
SOLUSD,TREND_FOLLOWING,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
SOLUSD,MOMENTUM_PULLBACK,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
