asset,candidate_count,playbooks_triggered,families_triggered,families,playbooks
GER40,7875,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
UK100,8369,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
JP225,8985,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
WTI,6395,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
BRENT,6789,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
NATGAS,8241,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
V75,11612,17,9,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
V50,11492,17,9,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
V100,11589,17,9,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
V25,11276,17,9,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
V10,11192,17,9,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
