asset,candidate_count,playbooks_triggered,families_triggered,families,playbooks
XAUUSD,7451,17,9,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
XAGUSD,7518,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
BTCUSD,11509,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
ETHUSD,11154,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
SOLUSD,11238,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
BNBUSD,12123,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
XRPUSD,11280,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
US100,8355,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
US500,7609,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
US30,7892,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
