asset_class,trades,wins,losses,flats,win_rate_all,net_pnl,winner_pnl,winner_mean_mfe_r,winner_mean_mae_r
FX,686,297,143,246,0.4329446064139942,172.78636760715443,244.04959617858242,2.323470367426499,0.4576996376593443
CRYPTO,102,45,21,36,0.4411764705882353,23.782022642856848,35.614832642856705,2.8629011045236763,0.3121691454644171
INDICES,156,53,30,73,0.33974358974358976,18.576323522143497,35.16219537928627,2.1394902536671956,0.36746409149680753
ENERGY,99,40,25,34,0.40404040404040403,20.749075321428315,33.40420103571405,2.1995630582060075,0.302133373076778
SYNTH,69,24,10,35,0.34782608695652173,4.487639056214233,9.598571052999876,1.7405211837771144,0.455284753211098
METALS,14,8,4,2,0.5714285714285714,3.0123153928572495,3.99392253571435,1.6774243132273963,0.1991393055205129
