strategy_family,trades,wins,losses,flats,win_rate_all,net_pnl,winner_pnl,winner_mean_mfe_r,winner_mean_mae_r
ENSEMBLE_REGIME,512,177,107,228,0.345703125,111.35522031050837,176.08223100015147,2.5028132017355107,0.36615001609979886
RELATIVE_VALUE_PAIRS,400,164,65,171,0.41,71.6772529214283,102.31712985000004,2.221444744088199,0.3532920671264854
MEAN_REVERSION,141,97,44,0,0.6879432624113475,24.885335957143877,40.652672978571225,1.8525307578286276,0.5279676186426979
SESSION_TIME,17,10,3,4,0.5882352941176471,26.258100000002415,27.246771428573922,4.001847815657737,1.2468492113423175
INTERMARKET,38,15,7,16,0.39473684210526316,10.010951453571481,12.402624882143023,2.5194954881133853,0.3822758958399924
SUPPLY_DEMAND,18,4,7,7,0.2222222222222222,-0.7931170999998535,3.12188868571402,2.661847198250527,0.47533570164590333
