window,start_week,end_week,compounded_return_pct,mean_week_pct,median_week_pct,positive_weeks,weeks_ge5,weeks_ge10,max_weekly_dd_pct
1,2026-02-16,2026-04-27,131.92869663032306,7.974870868271011,8.610884978842993,11,9,4,-2.421579675857699
2,2026-02-23,2026-05-04,148.69304599457195,8.657656395615696,9.132427040458225,11,10,5,-2.421579675857699
3,2026-03-02,2026-05-11,150.34424285280585,8.724413195983558,9.132427040458225,11,10,5,-2.421579675857699
4,2026-03-09,2026-05-18,154.52183769697356,8.887928492643905,9.584669851901273,11,10,5,-1.3935614108522842
5,2026-03-16,2026-05-25,159.10574865544967,9.065753071958873,10.153425653475633,11,10,6,-1.3935614108522842
6,2026-03-23,2026-06-01,149.53524769879274,8.699299675714686,10.153425653475633,11,10,6,-1.7306086940969467
7,2026-03-30,2026-06-08,156.493990900662,8.963573822362845,10.153425653475633,11,11,6,-1.7306086940969467
8,2026-04-06,2026-06-15,164.64477513687874,9.267493229762149,10.153425653475633,11,11,6,-1.7306086940969467
9,2026-04-13,2026-06-22,159.94042821766809,9.089409539884816,9.584669851901273,11,11,5,-1.7306086940969467
10,2026-04-20,2026-06-29,166.1609865192952,9.322900601775158,9.895011346341898,11,11,5,-1.7306086940969467
11,2026-04-27,2026-07-06,169.0244322424121,9.430633881307491,9.895011346341898,11,11,5,-1.7306086940969467
12,2026-05-04,2026-07-13,167.27097552366806,9.365122880378431,9.84079522773893,11,11,4,-1.7306086940969467
13,2026-05-11,2026-07-20,171.60652624161622,9.529428992012832,9.84079522773893,11,11,4,-1.7306086940969467
14,2026-05-18,2026-07-27,167.67497969261487,9.38292229117556,9.722205882444168,11,11,3,-1.8166283140802486
15,2026-05-25,2026-08-03,154.23001534246552,8.88253186137703,9.722205882444168,11,10,3,-2.057588452823489
16,2026-06-01,2026-08-10,155.85633513870158,8.94683198240046,9.722205882444168,11,10,3,-2.057588452823489
