window,start_week,end_week,compounded_return_pct,mean_week_pct,median_week_pct,positive_weeks,weeks_ge5,weeks_ge10,max_weekly_dd_pct
1,2026-02-16,2026-04-27,190.17165539878062,10.215189049923648,11.237009089563198,11,9,9,-3.7440606836682933
2,2026-02-23,2026-05-04,216.30213502268708,11.065826473561076,11.260362508254307,11,10,10,-3.7440606836682933
3,2026-03-02,2026-05-11,194.0523189662815,10.349641933520829,11.237009089563198,11,9,9,-3.7440606836682933
4,2026-03-09,2026-05-18,195.44119112725048,10.396880201702583,11.237009089563198,11,9,9,-1.998506085818863
5,2026-03-16,2026-05-25,198.076131687227,10.486667176281564,11.260362508254307,11,9,9,-1.998506085818863
6,2026-03-23,2026-06-01,179.01495457251983,9.840002507711926,11.260362508254307,11,8,8,-2.4948866508943235
7,2026-03-30,2026-06-08,175.6827305105836,9.71920596616005,10.533882611166568,11,8,7,-2.4948866508943235
8,2026-04-06,2026-06-15,196.3582187268289,10.428381499026138,11.514844342107677,11,9,8,-2.4948866508943235
9,2026-04-13,2026-06-22,198.46740125082977,10.500531640304944,11.72809706380944,11,9,8,-2.4948866508943235
10,2026-04-20,2026-06-29,201.29249727751906,10.59558914835812,11.72809706380944,11,9,8,-2.4948866508943235
11,2026-04-27,2026-07-06,198.6613465698739,10.504890487621024,11.72809706380944,11,9,8,-2.4948866508943235
12,2026-05-04,2026-07-13,194.9421902426383,10.377001616284314,11.562415104287837,11,9,8,-2.4948866508943235
13,2026-05-11,2026-07-20,199.43012641563013,10.53367996958383,11.562415104287837,11,9,8,-2.4948866508943235
14,2026-05-18,2026-07-27,220.9707318356681,11.214583423820313,11.605539087427141,11,10,9,-2.4948866508943235
15,2026-05-25,2026-08-03,223.82144949395718,11.303829989641212,11.605539087427141,11,10,9,-2.4948866508943235
16,2026-06-01,2026-08-10,223.45528667349132,11.292344795279236,11.601759925827704,11,10,9,-2.4948866508943235
