week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10,memory112_promoted_before_gate,integrated_gate_rejected,integrated_promoted_after_gate
2026-02-16,100.0,103.90699298482208,3.9069929848220886,84,84,-1.8752248173686148,False,False,107,1,106
2026-02-23,103.90699298482208,116.36921433910776,11.99363103126856,109,109,-1.3166409371028531,True,True,155,11,144
2026-03-02,116.36921433910776,128.0227319560706,10.014261661167279,80,80,-3.7440606836682933,True,True,122,0,122
2026-03-09,128.0227319560706,141.77293710785528,10.740440343440639,104,104,-1.1736594221617325,True,True,195,25,170
2026-03-16,141.77293710785528,157.70397493720571,11.237009089563198,98,97,-0.7326760882174432,True,True,166,23,143
2026-03-23,157.70397493720571,175.4620142050616,11.260362508254307,62,61,-1.4187766114540201,True,True,108,2,106
2026-03-30,175.4620142050616,182.50859739077512,4.016016354102847,55,55,-1.998506085818863,False,False,111,3,108
2026-04-06,182.50859739077512,203.5241782912869,11.514844342107677,69,68,-1.6921381603810404,True,True,103,7,96
2026-04-13,203.5241782912869,224.83235527789088,10.469604724853587,59,59,-0.9040659839502418,True,True,99,16,83
2026-04-20,224.83235527789088,256.85910334655034,14.244723820588302,73,71,-1.5584208823810508,True,True,113,6,107
2026-04-27,256.85910334655034,290.1716553987806,12.969192688991637,73,73,-1.097666065773728,True,True,109,8,101
2026-05-04,290.1716553987806,328.660037248866,13.264004644833793,136,134,-0.6072710889030164,True,True,185,18,167
2026-05-11,328.660037248866,342.1863733269889,4.115601090825849,47,47,-0.9744599976167945,False,False,136,5,131
2026-05-18,342.1863733269889,378.23188420466215,10.533882611166568,71,69,-1.4905719034400966,True,True,132,0,132
2026-05-25,378.23188420466215,422.5912867104602,11.72809706380944,96,94,-1.413896949578597,True,True,140,7,133
2026-06-01,422.5912867104602,440.0176740301027,4.1236977352971715,73,73,-2.4948866508943235,False,False,124,4,120
2026-06-08,440.0176740301027,483.7184717693819,9.931600551183672,78,78,-1.6788199081208766,True,False,134,3,131
2026-06-15,483.7184717693819,540.879228250621,11.816947215629824,73,72,-1.536195106249727,True,True,128,12,116
2026-06-22,540.879228250621,607.4533258631092,12.30849589617453,60,60,-1.1189234341297927,True,True,114,11,103
2026-06-29,607.4533258631092,677.4030179046213,11.515237313438531,73,73,-1.495616892155771,True,True,111,6,105
2026-07-06,677.4030179046213,767.1388568421111,13.24703855248024,100,97,-0.9845906362540235,True,True,134,4,130
2026-07-13,767.1388568421111,855.8386358964844,11.562415104287837,97,97,-0.7332765435043909,True,True,155,8,147
2026-07-20,855.8386358964844,984.1071650119366,14.98746653112848,116,114,-0.5575615812829393,True,True,159,12,147
2026-07-27,984.1071650119366,1098.318106709568,11.605539087427141,86,86,-1.7780510588311316,True,True,136,18,118
2026-08-03,1098.318106709568,1224.7959698798425,11.515594835196463,83,83,-1.372956336551523,True,True,132,11,121
2026-08-10,1224.7959698798425,1366.8938578865148,11.601759925827704,80,80,-1.5344162660059668,True,True,109,7,102
