week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-06-01,100.0,104.02262172910761,4.022621729107612,66,66,-1.359764171163591,False,False
2026-06-08,104.02262172910761,99.64376180039235,-4.209526597126678,181,181,-7.280979015347134,False,False
2026-06-15,99.64376180039235,112.10468287628461,12.505470338277803,143,139,-2.806084374446449,True,True
2026-06-22,112.10468287628461,126.90162417210678,13.199217834772913,143,142,-2.2170815968509894,True,True
2026-06-29,126.90162417210678,139.5011961771076,9.928613669997643,157,156,-4.064875424985925,True,False
2026-07-06,139.5011961771076,158.13321875925067,13.356174063545856,141,140,-1.2650456806433175,True,True
2026-07-13,158.13321875925067,164.54964893539307,4.057610555509572,95,95,-1.388792366924596,False,False
2026-07-20,164.54964893539307,189.01860750911064,14.870258752921917,161,159,-1.126488143029103,True,True
2026-07-27,189.01860750911064,210.31365859682566,11.266113621479622,115,115,-1.4171515709534344,True,True
2026-08-03,210.31365859682566,240.76888039316424,14.480857781434775,98,98,-1.4838590587568201,True,True
2026-08-10,240.76888039316424,276.1162451068091,14.681035462691149,144,144,-1.1153688951075047,True,True
