week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-06-01,100.0,110.67361485250055,10.673614852500556,236,236,-4.883182530232766,True,True
2026-06-08,110.67361485250055,115.1404027182143,4.036000695980557,116,116,-2.5655955617495008,False,False
2026-06-15,115.1404027182143,130.84047618607113,13.635590198759306,143,139,-2.61049598951254,True,True
2026-06-22,130.84047618607113,147.72690785321447,12.90612214153728,135,134,-2.1475900171425644,True,True
2026-06-29,147.72690785321447,153.75609900035772,4.0813087031741135,121,121,-3.812272923373705,False,False
2026-07-06,153.75609900035772,174.01738607464407,13.177550162897411,149,148,-1.8243884453328585,True,True
2026-07-13,174.01738607464407,181.15926311650054,4.104116952310144,87,87,-1.945677174147964,False,False
2026-07-20,181.15926311650054,209.6170886084328,15.708733300395195,162,160,-1.3678949790655759,True,True
2026-07-27,209.6170886084328,232.91176766927273,11.112967561702325,123,123,-1.5546021550996159,True,True
2026-08-03,232.91176766927273,267.9294857014161,15.034756887795986,112,112,-1.4411303870207393,True,True
2026-08-10,267.9294857014161,307.0137114842759,14.587504499753233,122,122,-1.076653730953303,True,True
