week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-06-01,100.0,104.0137618758929,4.013761875892907,91,91,-2.579800855771519,False,False
2026-06-08,104.0137618758929,108.1627384192855,3.988872692003076,110,110,-2.225956382119698,False,False
2026-06-15,108.1627384192855,121.85624678267806,12.660097704174799,142,138,-2.3183446366092375,True,True
2026-06-22,121.85624678267806,137.7953306792715,13.08023537358709,148,147,-2.045079750576273,True,True
2026-06-29,137.7953306792715,150.51871668641505,9.233539296594984,156,155,-4.553898346598051,True,False
2026-07-06,150.51871668641505,170.38834162248702,13.200766903605476,147,146,-1.838212535226813,True,True
2026-07-13,170.38834162248702,177.4205636080931,4.127173208356405,91,91,-2.4007675186867194,False,False
2026-07-20,177.4205636080931,204.3011990175256,15.15080037103791,160,158,-1.3445051255134621,True,True
2026-07-27,204.3011990175256,226.28740612211456,10.761663274772527,123,123,-1.2434977495733301,True,True
2026-08-03,226.28740612211456,260.60791937300786,15.166780086900843,110,110,-1.4470348213307171,True,True
2026-08-10,260.60791937300786,298.2754897737247,14.453732062840064,126,126,-1.0935303953420905,True,True
