week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-06-01,100.0,108.2220626513395,8.22206265133949,206,206,-6.20366926924677,True,False
2026-06-08,108.2220626513395,104.77255741026713,-3.1874325406139103,166,166,-6.255205856309976,False,False
2026-06-15,104.77255741026713,120.11861193705255,14.647017221020509,135,131,-2.6365820942668927,True,True
2026-06-22,120.11861193705255,136.14121884971837,13.338987734109331,134,133,-1.6466040237119728,True,True
2026-06-29,136.14121884971837,141.864076959362,4.203618975940637,116,116,-4.181012126395811,False,False
2026-07-06,141.864076959362,147.77706964239744,4.1680690487481575,50,50,-1.8209857961917209,False,False
2026-07-13,147.77706964239744,153.8832137225312,4.131996997172749,85,85,-1.2071921118578244,False,False
2026-07-20,153.8832137225312,176.7350776529445,14.850134317845608,151,149,-1.121503091970133,True,True
2026-07-27,176.7350776529445,192.22877221174883,8.766621071810853,108,108,-2.94755022398272,True,False
2026-08-03,192.22877221174883,221.43570164862325,15.193838623024458,101,101,-1.4581996370225614,True,True
2026-08-10,221.43570164862325,253.1551636282682,14.324457051635587,140,140,-1.1779328915201615,True,True
