window,start_week,end_week,compounded_return_pct,mean_week_pct,median_week_pct,positive_weeks,weeks_ge5,weeks_ge10,max_weekly_dd_pct
1,2026-02-16,2026-04-27,129.99154734306651,7.890097957070567,7.595030225910193,11,10,4,-1.4594112529466519
2,2026-02-23,2026-05-04,146.85064459834027,8.580867656924262,8.24490164899212,11,11,5,-1.4059380749136485
3,2026-03-02,2026-05-11,150.66075765733112,8.73563320482437,8.24490164899212,11,11,5,-1.4059380749136485
4,2026-03-09,2026-05-18,151.22410905361298,8.757749266481227,8.488178327217554,11,11,5,-1.4059380749136485
5,2026-03-16,2026-05-25,158.12853635410102,9.026571925872378,10.082089109719817,11,11,6,-1.4059380749136485
6,2026-03-23,2026-06-01,155.53905821729364,8.928497146521874,10.082089109719817,11,11,6,-1.4174424210877778
7,2026-03-30,2026-06-08,165.47288847203254,9.30301673325789,10.095777080552493,11,11,7,-1.4174424210877778
8,2026-04-06,2026-06-15,169.47836848450066,9.447436656309522,10.095777080552493,11,11,7,-1.4817137518821744
9,2026-04-13,2026-06-22,167.84457766188447,9.386763509439838,10.095777080552493,11,11,6,-1.4817137518821744
10,2026-04-20,2026-06-29,166.45658039107386,9.336577647615838,10.095777080552493,11,11,6,-1.4817137518821744
11,2026-04-27,2026-07-06,166.9369699022776,9.354763763016203,10.095777080552493,11,11,6,-1.4817137518821744
12,2026-05-04,2026-07-13,162.44554341991028,9.185559741150739,9.414684494153324,11,11,5,-1.4817137518821744
13,2026-05-11,2026-07-20,158.25740695831243,9.02415553419386,9.414684494153324,11,11,4,-1.4817137518821744
14,2026-05-18,2026-07-27,155.12150219611357,8.900522976716514,9.414684494153324,11,11,4,-1.4817137518821744
15,2026-05-25,2026-08-03,144.99749207270048,8.509146031649236,9.414684494153324,11,10,4,-2.0917840992832115
16,2026-06-01,2026-08-10,151.4753291435272,8.774877270791476,9.414684494153324,11,10,4,-2.0917840992832115
