asset,symbol,source_m1_bars,scored_15m_bars,factor_rows,trigger_rows_abs_ge_070,first,last,state
BTCUSD,BTCUSDT,148319,9876,4691,4691,2026-05-04 03:30:00+00:00,2026-08-15 00:00:00+00:00,PASS
ETHUSD,ETHUSDT,148319,9876,4691,4691,2026-05-04 03:15:00+00:00,2026-08-15 00:00:00+00:00,PASS
SOLUSD,SOLUSDT,148319,9876,4638,4638,2026-05-04 04:00:00+00:00,2026-08-14 23:45:00+00:00,PASS
BNBUSD,BNBUSDT,148319,9876,4512,4512,2026-05-04 03:15:00+00:00,2026-08-14 23:45:00+00:00,PASS
XRPUSD,XRPUSDT,148319,9876,4617,4617,2026-05-04 03:45:00+00:00,2026-08-14 23:45:00+00:00,PASS
