strategy,trades,wins,losses,flat,net_pnl,gross_win_pnl,gross_loss_pnl,nonflat_win_rate,avg_win_pnl,avg_loss_pnl,profit_factor,avg_net_r,avg_mfe_r,avg_mae_r,avg_giveback_r,cost_r_sum
SUPPLY_DEMAND_SWEEP_BOS,17,4,7,6,-0.7931170999998535,3.12188868571402,-3.915005785713874,0.36363636363636365,0.780472171428505,-0.5592865408162677,0.7974161103684718,0.026316987823680586,1.0900293115000317,0.8718301770201109,0.6519476177940318,0.0
MEAN_REVERSION_EXTREME,6,3,3,0,-0.28627621428571853,0.3053166428571381,-0.5915928571428566,0.5,0.1017722142857127,-0.19719761904761887,0.5160925105345058,-0.2377069989830726,0.9614291230530644,0.8834055056309071,0.699136122036133,0.0
DAY_OPEN_DRIVE_FADE,2,0,0,2,0.0,0.0,0.0,,0.0,0.0,,0.0,1.032653676250936,1.8179255891989055,1.032653676250936,0.0
INTERMARKET_LEAD_LAG,37,14,7,16,10.564854710714338,12.95652813928588,-2.391673428571542,0.6666666666666666,0.9254662956632771,-0.3416676326530775,5.417348365585319,0.4376373068501121,1.3752452472159264,0.5672792350430623,0.780456951801569,0.0
CLOSE_SESSION_CONTINUATION,15,10,3,2,26.04590928571673,27.00837714285966,-0.9624678571429345,0.7692307692307693,2.7008377142859663,-0.3208226190476448,28.06158869869531,1.8645975460126292,2.830934546230705,1.4419296887189772,0.7663370002180471,0.0
CLOSE_SESSION_FADE,131,90,41,0,26.81813911964388,41.76467256964267,-14.946533449998793,0.6870229007633588,0.46405191744047414,-0.36454959634143397,2.7942715084644623,0.2534944488875959,1.3531510582813908,0.9722664934016625,0.7898810215564892,0.0
RELATIVE_VALUE_ROTATION,400,164,65,171,70.51611752857107,102.62321374285733,-32.107096214286265,0.7161572052401747,0.6257513033101056,-0.4939553263736349,3.1962782637812777,0.3869122770289707,1.3853996676601092,0.5412130759934453,0.8414577277405106,0.0
ENSEMBLE_CONFLUENCE,494,161,105,228,104.14663115436463,167.02196776686486,-62.87533661250022,0.6052631578947368,1.0374035265022663,-0.5988127296428593,2.6563987847288804,0.329644553649899,1.3892102669602446,0.5901042634252434,0.8498543607603831,0.0
