entry_dow,trades,wins,losses,flat,net_pnl,gross_win_pnl,gross_loss_pnl,nonflat_win_rate,avg_win_pnl,avg_loss_pnl,profit_factor,avg_net_r,avg_mfe_r,avg_mae_r,avg_giveback_r,cost_r_sum
Saturday,22,6,2,14,2.677594228571576,3.117633514285841,-0.44003928571426487,0.75,0.5196055857143068,-0.22001964285713244,7.084898134095794,0.45267866250303984,1.4918376708479009,0.35903270645181345,0.9482499174357725,0.0
Sunday,70,35,26,9,8.610053310356928,15.608135553571262,-6.998082243214336,0.5737704918032787,0.44594673010203606,-0.2691570093543975,2.23034468746143,0.50321781103352,1.567256363487089,0.9359231590309193,0.6926099810249975,0.0
Friday,140,47,23,70,15.545230473428497,22.83077042128564,-7.285539947857141,0.6714285714285714,0.48576107279331143,-0.31676260642857135,3.1337101415524784,0.3200638666852584,1.339292392941255,0.5501268777598153,0.8549428119702768,0.0
Thursday,203,87,43,73,24.65409179571509,44.4065425099997,-19.752450714284613,0.6692307692307692,0.5104200288505713,-0.45935931893685145,2.2481535659717253,0.3578302089499172,1.3851620934157634,0.6839331545600549,0.8300863404175203,0.0
Tuesday,221,82,51,88,43.106932276432914,77.16094305500312,-34.054010778570216,0.6165413533834586,0.9409871104268672,-0.6677257015405925,2.2658400960969796,0.2078187813722713,1.278619038003681,0.6613480138353227,0.8433138370292341,0.0
Wednesday,227,98,48,81,43.45606734785841,63.914163440715605,-20.458096092857204,0.6712328767123288,0.6521853412317918,-0.4262103352678584,3.1241501237757294,0.3635797613735027,1.3691598925876003,0.6283373393478162,0.7995877214344546,0.0
Monday,219,91,38,90,98.96228905236168,127.76377619522039,-28.801487142858708,0.7054263565891473,1.4039975406068175,-0.7579338721804924,4.43601316701104,0.46989304039461866,1.5196971831502875,0.5647456638732378,0.8775263313144546,0.0
