promotion_tier,trades,wins,losses,flat,net_pnl,gross_win_pnl,gross_loss_pnl,nonflat_win_rate,avg_win_pnl,avg_loss_pnl,profit_factor,avg_net_r,avg_mfe_r,avg_mae_r,avg_giveback_r,cost_r_sum
B,104,42,11,51,14.07848474285628,16.635519599999352,-2.557034857143074,0.7924528301886793,0.39608379999998455,-0.232457714285734,6.505785227576404,0.3742736982781544,1.378442880036808,0.48062526881396034,0.898399950989419,0.0
A,998,404,220,374,222.93377374186878,338.1664450900822,-115.23267134821342,0.6474358974358975,0.8370456561635699,-0.5237848697646065,2.934640333627267,0.35578689262598506,1.3968406220242577,0.6530604142858891,0.8258187976352506,0.0
