week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-02-16,100.0,104.93954559285734,4.939545592857342,85,85,-1.9280777141849836,False,False
2026-02-23,104.93954559285734,109.30453230714302,4.159525076676895,56,56,-1.3518940076941988,False,False
2026-03-02,109.30453230714302,119.06743066071394,8.931833060807959,78,78,-0.9572831825100492,True,False
2026-03-09,119.06743066071394,131.7797416044639,10.676564425055979,124,124,-1.6202808924956846,True,True
2026-03-16,131.7797416044639,145.1842753516055,10.171922925281795,110,109,-1.3238788796277934,True,True
2026-03-23,145.1842753516055,161.05381387303345,10.930617990822554,64,63,-1.4476336471722417,True,True
2026-03-30,161.05381387303345,172.8869061155332,7.347290919685001,70,69,-1.5838827470670669,True,False
2026-04-06,172.8869061155332,180.1652898828545,4.209910357501245,28,28,-1.02806043922391,False,False
2026-04-13,180.1652898828545,199.61072702571153,10.79310956927424,66,66,-0.98243357860065,True,True
2026-04-20,199.61072702571153,226.88114815749753,13.661801416250219,76,74,-1.830567953158746,True,True
2026-04-27,226.88114815749753,257.3451487628547,13.427294798512523,78,78,-1.9856138741797258,True,True
2026-05-04,257.3451487628547,294.0921084785707,14.27925099516003,141,139,-0.8310590615607905,True,True
2026-05-11,294.0921084785707,332.9825615857118,13.223902303374757,104,104,-1.700783908222958,True,True
2026-05-18,332.9825615857118,366.89569608392685,10.184657820132003,66,65,-1.5705376380443892,True,True
2026-05-25,366.89569608392685,409.4058796553552,11.586449234799478,103,101,-1.4169159477471216,True,True
2026-06-01,409.4058796553552,418.74343525178597,2.280757571017622,77,77,-2.669798710057736,False,False
2026-06-08,418.74343525178597,460.00497660892245,9.85365688952864,79,79,-1.8013253609036717,True,False
2026-06-15,460.00497660892245,519.5226657053483,12.938488086624634,82,81,-1.562285278929254,True,True
2026-06-22,519.5226657053483,580.524178473209,11.741838575038832,70,70,-1.1221223783273393,True,True
2026-06-29,580.524178473209,644.3712912874917,10.998183225064274,73,73,-1.4379778204116733,True,True
2026-07-06,644.3712912874917,731.7192796946413,13.555536937814727,100,97,-0.9908880740850168,True,True
2026-07-13,731.7192796946413,799.7259713153587,9.294095906438017,90,90,-2.052417074050372,True,False
2026-07-20,799.7259713153587,917.882238460007,14.774594221356763,121,119,-0.9913989111029364,True,True
2026-07-27,917.882238460007,1021.5118161280772,11.290073315062354,98,98,-0.817447160760798,True,True
2026-08-03,1021.5118161280772,1137.5288793123668,11.357388270263868,85,85,-0.7418431247115054,True,True
2026-08-10,1137.5288793123668,1272.6945454530814,11.882394249403315,80,80,-1.042944400228829,True,True
