asset,directional_open_close_pct,open_60m_move_pct,gross_session_open_range_pct,close_60m_move_pct,executable_swing_opportunity_pct,captured_positive_move_pct,capture_ratio,missed_move_pct,raw_candidate_signals,precision_promoted_signals,selected_campaigns,miss_reasons
UK100,5.586400856301815,2.1215738861020834,8.182389171322669,0.8768632958111996,110.93966242452873,0.253165170619328,0.002282007760673997,110.68649725390941,1659,25,16,PRECISION_FILTER_REMOVED_MOST_SIGNALS|CONFIG_WEEKLY_LOSS_BREAKER|ASSET_WEEKLY_LOSS_BREAKER|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|FALSE_BREAK_OR_WRONG_DIRECTION|LOW_OPPORTUNITY_CAPTURE
JP225,22.159597597876825,13.683062187674958,25.115322184180343,6.890911312817775,301.96114941741655,0.08245038779173941,0.0002730496553971053,301.8786990296248,1806,22,2,PRECISION_FILTER_REMOVED_MOST_SIGNALS|LOT_BELOW_MIN|LOW_OPPORTUNITY_CAPTURE
WTI,34.330968042775595,8.043292158607917,49.6891024368305,5.953752107170674,521.2118242354875,0.0,0.0,521.2118242354875,1518,13,10,PRECISION_FILTER_REMOVED_MOST_SIGNALS|LOT_BELOW_MIN|OPEN_RISK_BUDGET|FALSE_BREAK_OR_WRONG_DIRECTION|LOW_OPPORTUNITY_CAPTURE
BRENT,41.256466218137554,5.270886473526067,48.59069837510165,5.98384826715682,469.7633450293864,0.0,0.0,469.7633450293864,1416,5,0,PRECISION_FILTER_REMOVED_MOST_SIGNALS|LOT_BELOW_MIN|OPEN_RISK_BUDGET|LOW_OPPORTUNITY_CAPTURE
NATGAS,26.23016085111291,5.745443571329794,38.948262575851764,5.845571024021197,326.6084376295393,4.264867893253098,0.013058045665343743,322.3435697362862,1812,72,45,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|SAME_ASSET_CAMPAIGN_ALREADY_OPEN|FALSE_BREAK_OR_WRONG_DIRECTION|WINNER_GIVEBACK|LOW_OPPORTUNITY_CAPTURE
V75,74.40815272775032,14.940579290938075,104.67041578617332,10.591841329168357,1092.5277961244578,0.0,0.0,1092.5277961244578,2340,0,0,CONFIG_NOT_VALIDATION_PROMOTED|LOW_OPPORTUNITY_CAPTURE
V50,43.985264974646086,9.188061776242305,72.65486578162056,11.477042008665219,727.9122109876606,0.0,0.0,727.9122109876606,2304,2,0,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|LOW_OPPORTUNITY_CAPTURE
V100,83.82020237360797,13.428456988650582,143.6978909315795,18.872744877646735,1451.7738565176605,0.7954455427408309,0.0005479128441180567,1450.9784109749196,2351,6,4,PRECISION_FILTER_REMOVED_MOST_SIGNALS|OPEN_RISK_BUDGET|LOW_OPPORTUNITY_CAPTURE
V25,19.260613734980435,5.1944543496872395,36.893201837744925,4.2589188427831415,367.52886365503736,0.0,0.0,367.52886365503736,2325,0,0,CONFIG_NOT_VALIDATION_PROMOTED|LOW_OPPORTUNITY_CAPTURE
V10,8.78116881579407,1.3188900283694895,14.480773667170574,2.110245992259889,145.99882383322506,0.0,0.0,145.99882383322506,2222,0,0,CONFIG_NOT_VALIDATION_PROMOTED|LOW_OPPORTUNITY_CAPTURE
