asset,candidate_count,playbooks_triggered,families_triggered,families,playbooks
AUDJPY,7995,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
CADJPY,8698,20,12,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
GBPCHF,8134,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
XAUUSD,7745,18,10,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
XAGUSD,7747,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
BTCUSD,11770,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
ETHUSD,11406,20,12,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
SOLUSD,11469,20,12,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
BNBUSD,12399,20,12,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
XRPUSD,11534,20,12,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
US100,8588,20,12,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
US500,7455,19,11,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
US30,8008,20,12,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
GER40,8249,20,12,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
UK100,8350,20,12,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
JP225,9090,20,12,BREAKOUT_RETEST|CAMPAIGN_MANAGEMENT|ENSEMBLE_REGIME|EVENT_RESPONSE|INTERMARKET|LIQUIDITY_STRUCTURE|MEAN_REVERSION|MOMENTUM_PULLBACK|RELATIVE_VALUE_PAIRS|SESSION_TIME|SUPPLY_DEMAND|TREND_FOLLOWING|VOLATILITY_REGIME,BREAKOUT_RETEST|CLOSE_SESSION_CONTINUATION|CLOSE_SESSION_FADE|COMPRESSION_EXPANSION|DAY_OPEN_DRIVE_CONTINUATION|DAY_OPEN_DRIVE_FADE|ENSEMBLE_CONFLUENCE|EVENT_RESPONSE_FIXTURE|FAILED_BREAK_REVERSAL|HTF_PULLBACK_CONTINUATION|HTF_TREND_BREAKOUT|INTERMARKET_LEAD_LAG|INTRADAY_SWING_CONTINUATION|MEAN_REVERSION_EXTREME|RELATIVE_VALUE_ROTATION|SESSION_OPEN_RANGE_BREAKOUT|SESSION_OPEN_SWEEP_RECLAIM|SUPPLY_DEMAND_SWEEP_BOS|VOLATILITY_REVERSAL|WINNER_ONLY_ADDON
