window,start_week,end_week,weeks,compounded_return_pct,start_equity_normalized,end_equity_normalized,mean_week_pct,median_week_pct,positive_weeks,weeks_ge5,weeks_ge10,max_weekly_dd_pct
1,2026-02-16,2026-04-27,11,151.2997031258902,100.0,251.2997031258902,8.78344351073971,8.898370848845062,11,8,5,-1.9871548200449562
2,2026-02-23,2026-05-04,11,167.9421827139524,100.0,267.9421827139524,9.415233225565075,10.174746945367685,11,9,6,-1.9871548200449562
3,2026-03-02,2026-05-11,11,187.98831759059036,100.0,287.9883175905904,10.123661462251528,10.679845111984921,11,10,7,-2.3539005853497996
4,2026-03-09,2026-05-18,11,175.42697391050393,100.0,275.42697391050393,9.691854217152697,10.679845111984921,11,9,7,-2.3539005853497996
5,2026-03-16,2026-05-25,11,182.18038812573428,100.0,282.1803881257343,9.93856763770983,10.933372393142381,11,9,7,-2.3539005853497996
6,2026-03-23,2026-06-01,11,161.71382364289468,100.0,261.7138236428947,9.212114676920155,10.933372393142381,11,8,6,-2.9365886847400047
7,2026-03-30,2026-06-08,11,162.54452474800502,100.0,262.544524748005,9.244124823019263,11.285484000232525,11,8,6,-2.9365886847400047
8,2026-04-06,2026-06-15,11,174.73415952200105,100.0,274.73415952200105,9.697223281318374,11.889232455936337,11,8,7,-2.9365886847400047
9,2026-04-13,2026-06-22,11,190.70955120614798,100.0,290.709551206148,10.248106083684739,11.889232455936337,11,9,8,-2.9365886847400047
10,2026-04-20,2026-06-29,11,188.77112396367633,100.0,288.7711239636763,10.182098992913271,11.889232455936337,11,9,8,-2.9365886847400047
11,2026-04-27,2026-07-06,11,192.65860886958893,100.0,292.65860886958893,10.321127283546211,11.889232455936337,11,9,8,-2.9365886847400047
12,2026-05-04,2026-07-13,11,180.00469909300372,100.0,280.0046990930037,9.877819078005702,11.285484000232525,11,9,7,-2.9365886847400047
13,2026-05-11,2026-07-20,11,186.27149155365353,100.0,286.2714915536535,10.105473243893252,11.285484000232525,11,9,7,-2.9365886847400047
14,2026-05-18,2026-07-27,11,182.69067901158073,100.0,282.69067901158076,9.978168798013705,10.551886775552877,11,9,7,-2.9365886847400047
15,2026-05-25,2026-08-03,11,206.17691652146027,100.0,306.17691652146027,10.764783857935164,11.285484000232525,11,10,8,-2.9365886847400047
16,2026-06-01,2026-08-10,11,214.41735107232418,100.0,314.4173510723242,11.042226928819344,11.285484000232525,11,10,8,-2.9365886847400047
