week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-06-01,100.0,107.62588249285807,7.6258824928580715,141,141,-4.637645574907678,True,False
2026-06-08,107.62588249285807,114.99981808928588,6.851451923673779,93,92,-1.8839636193385023,True,False
2026-06-15,114.99981808928588,130.14143108571483,13.166640824312426,98,94,-0.7018743720929699,True,True
2026-06-22,130.14143108571483,146.40892476500153,12.49985768834252,98,98,-1.5924305631429991,True,True
2026-06-29,146.40892476500153,152.48682029357272,4.151314913572879,36,36,-1.695282126771902,False,False
2026-07-06,152.48682029357272,172.72374834000172,13.271263711492033,87,86,-0.8956322796312866,True,True
2026-07-13,172.72374834000172,191.2160061493584,10.706262449188642,95,95,-1.7646420243840555,True,True
2026-07-20,191.2160061493584,222.47524514164786,16.347605842093003,147,145,-1.034586422949002,True,True
2026-07-27,222.47524514164786,246.20785128793423,10.667526686475192,100,100,-0.9806106060484043,True,True
2026-08-03,246.20785128793423,285.3946099586498,15.916128777261296,72,72,-0.9900665889579718,True,True
2026-08-10,285.3946099586498,322.8413858993665,13.12105226729483,105,105,-0.657539357616721,True,True
