rank_index,behavior,gate_metric,gate_direction,gate_threshold,managed_executions,end_equity,delta_end_equity,fresh_return_pct,fresh_delta_pct,max_weekly_dd_pct,executed_trades,wins,losses,flat,nonflat_win_rate,end_equity_not_regressed,fresh_holdout_improved,drawdown_not_worse,loss_flat_repair,full_universe_34x510,promotion_candidate
3,close_a0.50_r0.20_1b,reliability_win,le,0.2655132009803008,11,343.5447309255116,6.121606715072289,7.261646557142409,0.0,-4.637645574907678,1126,467,233,426,0.6671428571428571,True,False,True,False,True,False
8,close_a0.50_r0.10_1b,trailing_win_rate,le,0.272264631043257,7,338.06988460943967,0.6467603990003568,7.261646557142409,0.0,-4.637645574907678,1124,464,232,428,0.6666666666666666,True,False,True,False,True,False
4,close_a0.50_r0.05_1b,reliability_asset_strategy_win,le,0.3265411458233644,5,337.90138673186806,0.47826252142874637,7.261646557142409,0.0,-4.637645574907678,1102,451,228,423,0.6642120765832106,True,False,True,True,True,False
5,close_a0.50_r0.05_1b,trailing_win_rate,le,0.3254593175853018,5,337.90138673186806,0.47826252142874637,7.261646557142409,0.0,-4.637645574907678,1102,451,228,423,0.6642120765832106,True,False,True,True,True,False
7,close_a0.50_r0.15_1b,reliability_win,le,0.2655132009803008,8,336.59495010115404,-0.8281741092852712,7.261646557142409,0.0,-4.637645574907678,1104,455,229,420,0.6652046783625731,False,False,True,True,True,False
11,close_a0.50_r0.10_1b,reliability_win,le,0.2655132009803008,6,336.3133208511538,-1.1098033592855359,7.261646557142409,0.0,-4.637645574907678,1104,453,229,422,0.6642228739002932,False,False,True,True,True,False
0,close_a0.50_r0.10_1b,reliability_strategy_win,le,0.2792262732483457,11,318.9692595843673,-18.453864626072004,7.261646557142409,0.0,-4.637645574907678,1063,434,228,401,0.6555891238670695,False,False,True,True,True,False
1,close_a0.50_r0.10_2b,trailing_giveback,ge,0.8275796734142848,6,318.35090015543864,-19.072224055000675,7.261646557142409,0.0,-4.637645574907678,1057,428,225,404,0.655436447166922,False,False,True,True,True,False
2,close_a0.50_r0.10_2b,quality,ge,0.7296018613408477,6,318.35090015543864,-19.072224055000675,7.261646557142409,0.0,-4.637645574907678,1057,428,225,404,0.655436447166922,False,False,True,True,True,False
9,close_a0.50_r0.10_2b,reliability_strategy_win,le,0.3062273852599504,7,318.0685955840101,-19.354528626429214,7.261646557142409,0.0,-4.637645574907678,1057,428,226,403,0.654434250764526,False,False,True,True,True,False
10,close_a0.50_r0.15_2b,reliability_strategy_win,le,0.3062273852599504,7,318.0685955840101,-19.354528626429214,7.261646557142409,0.0,-4.637645574907678,1057,428,226,403,0.654434250764526,False,False,True,True,True,False
6,close_a0.50_r0.20_2b,reliability_strategy_win,le,0.3062273852599504,9,316.6815367982962,-20.741587412143133,7.261646557142409,0.0,-4.637645574907678,1061,433,226,402,0.6570561456752656,False,False,True,True,True,False
