strategy,segment,trades,wins,losses,flats,net_pnl,profit_factor,avg_mfe_r,avg_mae_r
CLOSE_SESSION_CONTINUATION,first8,3,2,0,1,3.4375485714284397,,5.022092380215927,1.1640868027318447
CLOSE_SESSION_CONTINUATION,last3,12,8,3,1,22.60836071428829,24.489990389290224,2.2831450877344,1.5113904102157603
CLOSE_SESSION_CONTINUATION,all,15,10,3,2,26.04590928571673,28.06158869869531,2.830934546230705,1.4419296887189772
CLOSE_SESSION_FADE,first8,89,61,28,0,16.011951431429182,2.650592443234602,1.331651515726938,1.038404054503675
CLOSE_SESSION_FADE,last3,42,29,13,0,10.806187688214699,3.059968037513308,1.3987096127420175,0.8321178520188267
CLOSE_SESSION_FADE,all,131,90,41,0,26.81813911964388,2.7942715084644623,1.3531510582813908,0.9722664934016625
DAY_OPEN_DRIVE_FADE,first8,2,0,0,2,0.0,,1.032653676250936,1.8179255891989055
DAY_OPEN_DRIVE_FADE,all,2,0,0,2,0.0,,1.032653676250936,1.8179255891989055
ENSEMBLE_CONFLUENCE,first8,368,114,77,177,50.23303954736147,2.1671839992027593,1.3064037668158708,0.578154034169782
ENSEMBLE_CONFLUENCE,last3,126,47,28,51,53.91359160700316,3.717757317834629,1.6310578229374637,0.6250065202983369
ENSEMBLE_CONFLUENCE,all,494,161,105,228,104.14663115436463,2.6563987847288804,1.3892102669602446,0.5901042634252434
INTERMARKET_LEAD_LAG,first8,19,9,3,7,7.969182389285544,14.312695240031436,1.753271315574391,0.48608507034691806
INTERMARKET_LEAD_LAG,last3,18,5,4,9,2.595672321428793,2.447623034460987,0.9762177306153246,0.65298418666677
INTERMARKET_LEAD_LAG,all,37,14,7,16,10.564854710714338,5.417348365585319,1.3752452472159264,0.5672792350430623
MEAN_REVERSION_EXTREME,first8,6,3,3,0,-0.28627621428571853,0.5160925105345058,0.9614291230530644,0.8834055056309071
MEAN_REVERSION_EXTREME,all,6,3,3,0,-0.28627621428571853,0.5160925105345058,0.9614291230530644,0.8834055056309071
RELATIVE_VALUE_ROTATION,first8,319,136,49,134,54.08175223928683,3.28711109794826,1.4095977089764578,0.5408837261308135
RELATIVE_VALUE_ROTATION,last3,81,28,16,37,16.434365289284237,2.9424172817734577,1.2901012086488113,0.5425101452055379
RELATIVE_VALUE_ROTATION,all,400,164,65,171,70.51611752857107,3.1962782637812777,1.3853996676601092,0.5412130759934453
SUPPLY_DEMAND_SWEEP_BOS,first8,17,4,7,6,-0.7931170999998535,0.7974161103684718,1.0900293115000317,0.8718301770201109
SUPPLY_DEMAND_SWEEP_BOS,all,17,4,7,6,-0.7931170999998535,0.7974161103684718,1.0900293115000317,0.8718301770201109
