asset,symbol,funding_rows,premium_rows,factor_rows,trigger_rows_abs_ge_070,first,last,funding_archive_boundary,state
BTCUSD,BTCUSDT,267,146880,253,111,2026-05-08 00:00:00.003000+00:00,2026-07-31 16:00:00+00:00,2026-07-31 16:00:00+00:00,PASS
ETHUSD,ETHUSDT,267,146880,253,105,2026-05-08 00:00:00.003000+00:00,2026-07-31 16:00:00+00:00,2026-07-31 16:00:00+00:00,PASS
SOLUSD,SOLUSDT,267,146880,253,97,2026-05-08 00:00:00.003000+00:00,2026-07-31 16:00:00+00:00,2026-07-31 16:00:00+00:00,PASS
BNBUSD,BNBUSDT,267,146880,253,119,2026-05-08 00:00:00.003000+00:00,2026-07-31 16:00:00+00:00,2026-07-31 16:00:00+00:00,PASS
XRPUSD,XRPUSDT,267,146880,253,105,2026-05-08 00:00:00.003000+00:00,2026-07-31 16:00:00+00:00,2026-07-31 16:00:00+00:00,PASS
