strategy,exit_reason,trades,net_pnl,avg_net_r,avg_mfe_r,avg_giveback_r
BREAKOUT_RETEST,STOP,18,-8.156815285713817,-0.999999999999948,0.3528017001833749,0.3528017001833749
BREAKOUT_RETEST,DYNAMIC_CAPITAL_RECYCLE_R5,1,0.6006600000000254,1.350491098841084,1.9343414110759567,1.4343414110759247
BREAKOUT_RETEST,PROTECTED_STOP,21,2.6944480928572268,0.30655621378976655,1.3568200350284303,1.0502638212386637
CLOSE_SESSION_CONTINUATION,STOP,6,-2.3297036785717475,-1.0000000000000624,0.29643236072108237,0.29643236072108237
CLOSE_SESSION_CONTINUATION,PROTECTED_STOP,11,15.346942500001369,2.5924817381767333,3.519674293395288,0.927192555218555
CLOSE_SESSION_FADE,STOP,38,-13.317996302499523,-0.9999999999999891,0.2635742115538482,0.2635742115538482
CLOSE_SESSION_FADE,TIME_RULE,3,0.4055878571427991,0.32714706307278685,0.9929230194990213,0.4722419541965583
CLOSE_SESSION_FADE,DYNAMIC_CAPITAL_RECYCLE_R5,2,1.2618999999999052,0.8138112314345781,1.8182390694896515,0.48813310517690245
CLOSE_SESSION_FADE,PROTECTED_STOP,88,31.46935657285726,0.7861398919281668,1.8375675142681893,1.0514276223400225
COMPRESSION_EXPANSION,STOP,12,-4.737014285714554,-1.0000000000000269,0.2887451735558689,0.2887451735558689
COMPRESSION_EXPANSION,DYNAMIC_CAPITAL_RECYCLE_R5,2,0.9539999999996217,0.9379891935561115,1.4833611069030903,1.2333611069032435
COMPRESSION_EXPANSION,PROTECTED_STOP,16,1.9903784999996679,0.27979778635988317,1.24159448947877,0.961796703118887
DAY_OPEN_DRIVE_CONTINUATION,STOP,5,-1.876698142856985,-0.9999999999999188,0.3089962892594866,0.3089962892594866
DAY_OPEN_DRIVE_CONTINUATION,PROTECTED_STOP,3,0.9567020000000046,0.5948834657003886,1.5472578579795888,0.9523743922792001
DAY_OPEN_DRIVE_FADE,STOP,2,-1.1337357142858693,-1.0000000000001759,0.5447779280020706,0.5447779280020706
DAY_OPEN_DRIVE_FADE,PROTECTED_STOP,5,0.0,0.0,1.04978765034851,1.04978765034851
ENSEMBLE_CONFLUENCE,STOP,104,-55.845125028570976,-0.9999999999999798,0.2742513537787206,0.2742513537787206
ENSEMBLE_CONFLUENCE,TIME,1,0.1840000000000063,1.90800681431014,2.125768461595574,0.2177616472854342
ENSEMBLE_CONFLUENCE,TARGET,1,0.6345042857142607,3.0,3.101633896427708,0.1016338964277081
ENSEMBLE_CONFLUENCE,DYNAMIC_CAPITAL_RECYCLE_R5,3,1.209143000000217,0.7369307235108046,1.3787222632787055,1.212055596611992
ENSEMBLE_CONFLUENCE,PROTECTED_STOP,363,124.27433172732624,0.6262119642000927,1.6362925952784406,1.010080631078348
FAILED_BREAK_REVERSAL,STOP,8,-3.253678571428085,-0.9999999999999054,0.264478377767261,0.264478377767261
FAILED_BREAK_REVERSAL,DYNAMIC_CAPITAL_RECYCLE_R5,1,0.3059999999999945,0.6088946373495105,1.6038205153716043,1.103820515371582
FAILED_BREAK_REVERSAL,PROTECTED_STOP,9,1.501817142857309,0.298655439856761,1.29215421078177,0.993498770925009
HTF_PULLBACK_CONTINUATION,STOP,3,-1.4267951428572996,-1.000000000000082,0.1572780081790285,0.1572780081790285
HTF_PULLBACK_CONTINUATION,DYNAMIC_CAPITAL_RECYCLE_R5,1,0.5741099999999095,1.1086944107180594,1.3541053697922776,1.3541053697922776
HTF_PULLBACK_CONTINUATION,TIME,1,0.7848399999999672,1.618914425508484,1.894124102195892,0.2752096766874077
HTF_PULLBACK_CONTINUATION,PROTECTED_STOP,5,2.1257544285721752,0.6436027131396648,1.6810408886469772,1.0374381755073125
HTF_TREND_BREAKOUT,STOP,7,-3.988975182142848,-0.9999999999999213,0.317476733604903,0.317476733604903
HTF_TREND_BREAKOUT,PROTECTED_STOP,16,8.411478671428297,0.7824642688358945,1.7474153456836243,0.9649510768477298
INTERMARKET_LEAD_LAG,STOP,6,-1.8406333214286414,-1.0000000000000495,0.28299294157428306,0.28299294157428306
INTERMARKET_LEAD_LAG,TIME,2,0.22477999999999151,0.5112508681396292,0.8397122144850466,0.3284613463454174
INTERMARKET_LEAD_LAG,DYNAMIC_CAPITAL_RECYCLE_R5,1,0.2880000000000655,0.379674691673305,1.2116368598023195,1.2116368598023195
INTERMARKET_LEAD_LAG,PROTECTED_STOP,28,11.47546978571439,1.0126441909615587,1.9264550663024782,0.9138108753409195
