week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-06-01,100.0,105.2122859535715,5.212285953571505,166,166,-5.431365966101542,True,False
2026-06-08,105.2122859535715,102.38167470905209,-2.690380898832012,122,122,-4.909784162692709,False,False
2026-06-15,102.38167470905209,115.32333571262387,12.64060295980638,105,101,-1.2010741060491825,True,True
2026-06-22,115.32333571262387,130.62223283848178,13.266089669814507,119,119,-1.8479885410004449,True,True
2026-06-29,130.62223283848178,135.95139027208197,4.07982417525341,55,55,-1.439151679205064,False,False
2026-07-06,135.95139027208197,141.66372936136764,4.201751139030985,23,23,-1.0929236952498922,False,False
2026-07-13,141.66372936136764,157.59372375868892,11.244935079102515,105,105,-1.805509439674735,True,True
2026-07-20,157.59372375868892,179.99729334079893,14.216029070050308,150,147,-0.9955631243299901,True,True
2026-07-27,179.99729334079893,190.7901751043705,5.996135588070639,103,103,-3.577629727039655,True,False
2026-08-03,190.7901751043705,217.69009011937086,14.099213966486989,75,75,-1.2584721702164847,True,True
2026-08-10,217.69009011937086,243.735084285443,11.964253472351594,106,106,-1.1789626724943103,True,True
