week_start,start_equity,end_equity,weekly_return_pct,campaigns_entered,campaigns_closed,max_drawdown_pct,ge5,ge10
2026-06-01,100.0,105.2122859535715,5.212285953571505,166,166,-5.431365966101542,True,False
2026-06-08,105.2122859535715,102.38167470905209,-2.690380898832012,122,122,-4.909784162692709,False,False
2026-06-15,102.38167470905209,116.76297493405255,14.046752278539287,105,101,-1.2010741060491825,True,True
2026-06-22,116.76297493405255,131.88441454007122,12.950543281857296,119,119,-1.9468275711302718,True,True
2026-06-29,131.88441454007122,147.16372551619313,11.585380296380276,135,134,-2.1986577695626064,True,True
2026-07-06,147.16372551619313,165.17884275190767,12.241547414299635,96,95,-0.9948197436201678,True,True
2026-07-13,165.17884275190767,183.60303869340748,11.154089491456398,107,107,-1.7664989990675783,True,True
2026-07-20,183.60303869340748,209.7610859573037,14.247066633562987,153,150,-0.995258776840946,True,True
2026-07-27,209.7610859573037,222.16169119766104,5.911775858598234,103,103,-4.090604800782971,True,False
2026-08-03,222.16169119766104,254.29704675766143,14.464850076878921,74,74,-0.9874639345213376,True,True
2026-08-10,254.29704675766143,284.69161890069796,11.952388960301906,106,106,-1.1945275487911466,True,True
